id,x,y,z,o(z旋转角度),a(y'旋转角度),t(Z旋转角度)
trainImg0,-0.308353,0.100665,0.100407,-5.393,179.993,-122.86
trainImgPurpose,-0.44465,0.363515,-0.03256,-13.37,179.991,-130.837
